11 24 27 1 102 -72 -73 -73 -72 -72 -73 -73 -72 -1 -72 -73 -73 -73 -73 -72 -73 -74 -72 -74 -72 -72 -73 -73 -73 -73 -73 -74 -72 -72 -73 -73 -72 -73 -72 -72 -73 -73 -72 -73 -72 -71 -71 -71 -1 -71 -71 -71 -70 -1 -70 -71 -71 -71 -70 -72 -71 -70 -70 -70 -1 -71 -70 -70 -71 -71 -71 -71 -72 -71 -70 -70 -70 -70 -71 -72 -71 -71 -71 -71 -71 (3.283399,0.537773)
11 24 27 1 108 -64 -64 -64 -64 -64 -64 -63 -64 -64 -64 -64 -64 -62 -64 -64 -1 -65 -64 -64 -64 -64 -64 -64 -63 -63 -63 -63 -63 -63 -63 -64 -62 -63 -63 -64 -63 -62 -61 -61 -62 -60 -60 -60 -61 -59 -60 -60 -58 -60 -58 -60 -60 -60 -60 -60 -1 -60 -58 -59 -59 -60 -59 -59 -58 -60 -60 -60 -61 -60 -60 -60 -60 -61 -60 -61 -59 -60 -62 -61 -61 (5.257607,0.055410)
11 24 30 1 102 -196 -254 -246 -71 -72 -72 -73 -72 -72 -72 -72 -73 -72 -73 -72 -72 -72 -73 -73 -73 -74 -72 -72 -73 -72 -72 -72 -72 -72 -72 -72 -72 -72 -73 -72 -73 -73 -73 -72 -72 -246 -154 -154 -72 -71 -71 -71 -71 -71 -70 -71 -70 -70 -71 -71 -70 -70 -70 -1 -70 -1 -70 -70 -70 -70 -71 -71 -70 -1 -70 -70 -71 -71 -70 -71 -71 -70 -71 -70 -71 (6.050000,2.511886)
11 24 30 1 108 -46 -154 -154 -64 -65 -64 -65 -64 -65 -64 -67 -65 -64 -64 -65 -65 -65 -67 -65 -66 -66 -65 -65 -67 -65 -64 -64 -64 -64 -65 -63 -63 -63 -63 -63 -63 -63 -61 -62 -63 -255 -148 -148 -59 -59 -58 -60 -59 -60 -60 -60 -61 -59 -59 -58 -59 -58 -59 -59 -59 -60 -60 -59 -60 -59 -60 -60 -60 -59 -60 -59 -60 -59 -60 -60 -60 -59 -59 -60 -61 (6.050000,0.141254)
11 24 33 1 102 -196 -254 -246 -69 -70 -70 -70 -70 -70 -70 -70 -71 -71 -72 -71 -70 -71 -72 -70 -72 -71 -70 -71 -71 -71 -71 -71 -71 -70 -71 -71 -70 -70 -70 -70 -71 -71 -71 -71 -70 -246 -154 -154 -72 -71 -72 -72 -72 -71 -71 -71 -72 -70 -71 -70 -70 -71 -70 -70 -70 -70 -70 -69 -70 -71 -71 -71 -71 -71 -71 -72 -72 -71 -72 -72 -71 -71 -71 -71 -72 (6.050000,1.995262)
11 24 33 1 108 -46 -154 -154 -62 -63 -63 -1 -60 -61 -1 -62 -64 -63 -64 -64 -63 -64 -64 -65 -65 -64 -64 -64 -64 -63 -63 -63 -1 -63 -63 -64 -63 -62 -64 -63 -63 -63 -63 -62 -64 -255 -148 -148 -56 -55 -55 -1 -55 -58 -1 -55 -57 -55 -55 -56 -56 -55 -55 -56 -56 -56 -55 -56 -56 -55 -56 -58 -1 -58 -57 -59 -59 -58 -58 -57 -58 -58 -58 -59 -58 (6.050000,0.141254)
11 24 36 1 102 -196 -254 -246 -72 -72 -71 -71 -1 -71 -72 -72 -71 -71 -71 -71 -71 -72 -72 -72 -72 -72 -72 -71 -72 -72 -72 -71 -72 -71 -72 -71 -71 -72 -71 -72 -72 -72 -72 -72 -72 -246 -154 -154 -71 -71 -72 -71 -1 -71 -71 -71 -71 -70 -70 -1 -70 -69 -70 -69 -70 -70 -69 -69 -69 -69 -70 -71 -70 -71 -70 -70 -70 -71 -70 -71 -71 -72 -70 -72 -71 (6.050000,2.511886)
11 24 36 1 108 -46 -154 -154 -66 -66 -66 -65 -68 -69 -70 -70 -68 -66 -67 -66 -66 -65 -65 -67 -65 -66 -66 -67 -66 -65 -1 -63 -61 -1 -64 -62 -1 -1 -1 -60 -64 -62 -63 -63 -64 -255 -148 -148 -58 -59 -59 -59 -60 -60 -60 -59 -58 -58 -58 -58 -57 -57 -56 -55 -57 -58 -55 -56 -55 -59 -1 -58 -58 -1 -58 -58 -1 -1 -1 -58 -59 -58 -59 -58 -59 (6.050000,0.141254)
11 24 38 1 102 -196 -254 -246 -71 -72 -72 -72 -72 -71 -71 -72 -72 -72 -72 -72 -72 -72 -72 -72 -72 -72 -72 -72 -72 -71 -72 -72 -72 -72 -72 -72 -72 -73 -72 -72 -71 -71 -72 -72 -71 -246 -154 -154 -71 -71 -71 -71 -71 -70 -70 -70 -71 -71 -70 -70 -70 -70 -70 -69 -70 -70 -70 -70 -71 -70 -69 -70 -70 -70 -71 -71 -70 -71 -71 -71 -70 -71 -70 -1 -71 (6.050000,2.511886)
11 24 38 1 108 -46 -154 -154 -61 -60 -61 -60 -61 -60 -61 -61 -61 -61 -61 -61 -61 -61 -61 -61 -61 -61 -61 -60 -60 -61 -60 -60 -62 -59 -59 -61 -61 -61 -61 -59 -62 -60 -61 -61 -61 -255 -148 -148 -62 -62 -62 -62 -62 -60 -61 -61 -61 -61 -61 -60 -61 -62 -61 -60 -61 -61 -61 -62 -62 -61 -62 -62 -63 -62 -63 -63 -63 -62 -63 -63 -65 -63 -63 -60 -63 (6.050000,0.141254)
